File type,File format type,Output type,File assembly,Assay,Biosample term name,Biosample type,Biosample organism,Biosample treatments,Biosample genetic modifications methods,Biosample genetic modifications categories,Experiment target,Library made from,Experiment date released,Project,Lab,File download URL
tsv,,gene quantifications,mm10,total RNA-seq,adrenal gland,tissue,Mus musculus,,,,,RNA,2021-06-17,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF994FNZ/@@download/ENCFF994FNZ.tsv
tar,,unfiltered sparse gene count matrix of all reads,mm10,snRNA-seq,gastrocnemius,tissue,Mus musculus,,,,,RNA,2022-03-25,ENCODE,"Barbara Wold, Caltech",https://www.encodeproject.org/files/ENCFF943ZUP/@@download/ENCFF943ZUP.tar.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Mint-ChIP-seq,HCT116,cell line,Homo sapiens,,CRISPR,insertion,H3K9me3-human,DNA,2022-06-02,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF167IQH/@@download/ENCFF167IQH.bigBed
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Mint-ChIP-seq,HCT116,cell line,Homo sapiens,,CRISPR,insertion,H3K9me3-human,DNA,2022-06-02,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF739LNS/@@download/ENCFF739LNS.bed.gz
bigWig,,signal p-value,GRCh38,Mint-ChIP-seq,HCT116,cell line,Homo sapiens,,CRISPR,insertion,H3K9me3-human,DNA,2022-06-02,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF698LQY/@@download/ENCFF698LQY.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Mint-ChIP-seq,memory B cell,primary cell,Homo sapiens,,,,H3K9me3-human,DNA,2022-03-28,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF344RWA/@@download/ENCFF344RWA.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Mint-ChIP-seq,memory B cell,primary cell,Homo sapiens,,,,H3K9me3-human,DNA,2022-03-28,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF192DEO/@@download/ENCFF192DEO.bigBed
bigWig,,signal p-value,GRCh38,Mint-ChIP-seq,memory B cell,primary cell,Homo sapiens,,,,H3K9me3-human,DNA,2022-03-28,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF786KYM/@@download/ENCFF786KYM.bigWig
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Mint-ChIP-seq,"activated naive CD8-positive, alpha-beta T cell",primary cell,Homo sapiens,anti-CD3 and anti-CD28 coated beads,,,H3K27me3-human,DNA,2022-04-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF296EFS/@@download/ENCFF296EFS.bigBed
bigWig,,signal p-value,GRCh38,Mint-ChIP-seq,"activated naive CD8-positive, alpha-beta T cell",primary cell,Homo sapiens,anti-CD3 and anti-CD28 coated beads,,,H3K27me3-human,DNA,2022-04-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF635XRI/@@download/ENCFF635XRI.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Mint-ChIP-seq,"activated naive CD8-positive, alpha-beta T cell",primary cell,Homo sapiens,anti-CD3 and anti-CD28 coated beads,,,H3K27me3-human,DNA,2022-04-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF133ILB/@@download/ENCFF133ILB.bed.gz
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,HepG2,cell line,Homo sapiens,,CRISPR,insertion,ZNF18-human,DNA,2022-09-14,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF479ZIQ/@@download/ENCFF479ZIQ.bigBed
bigWig,,signal p-value,GRCh38,TF ChIP-seq,HepG2,cell line,Homo sapiens,,CRISPR,insertion,ZNF18-human,DNA,2022-09-14,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF832VFB/@@download/ENCFF832VFB.bigWig
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,HepG2,cell line,Homo sapiens,,CRISPR,insertion,ZNF18-human,DNA,2022-09-14,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF313BSI/@@download/ENCFF313BSI.bed.gz
tar,,unfiltered sparse gene count matrix of all reads,mm10,snRNA-seq,left cerebral cortex,tissue,Mus musculus,,,,,RNA,2022-03-25,ENCODE,"Barbara Wold, Caltech",https://www.encodeproject.org/files/ENCFF218UAY/@@download/ENCFF218UAY.tar.gz
tar,,unfiltered sparse gene count matrix of all reads,mm10,snRNA-seq,heart,tissue,Mus musculus,,,,,RNA,2022-03-25,ENCODE,"Barbara Wold, Caltech",https://www.encodeproject.org/files/ENCFF415YAF/@@download/ENCFF415YAF.tar.gz
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Mint-ChIP-seq,MCF 10A,cell line,Homo sapiens,,,,H3K4me3-human,DNA,2022-04-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF595RKZ/@@download/ENCFF595RKZ.bed.gz
bigWig,,signal p-value,GRCh38,Mint-ChIP-seq,MCF 10A,cell line,Homo sapiens,,,,H3K4me3-human,DNA,2022-04-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF403KTG/@@download/ENCFF403KTG.bigWig
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Mint-ChIP-seq,MCF 10A,cell line,Homo sapiens,,,,H3K4me3-human,DNA,2022-04-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF095YOP/@@download/ENCFF095YOP.bigBed
tsv,,transcript quantifications,GRCh38,long read RNA-seq,psoas muscle,tissue,Homo sapiens,,,,,polyadenylated mRNA,2021-06-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF673VUN/@@download/ENCFF673VUN.tsv
bigWig,,signal p-value,GRCh38,TF ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,Cebpa-rat,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF077NMD/@@download/ENCFF077NMD.bigWig
bed,narrowPeak,peaks,GRCh38,TF ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,Cebpa-rat,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF438BMZ/@@download/ENCFF438BMZ.bed.gz
bigBed,narrowPeak,peaks,GRCh38,TF ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,Cebpa-rat,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF093OYK/@@download/ENCFF093OYK.bigBed
bigWig,,signal p-value,GRCh38,TF ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,Cebpa-rat,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF419NIR/@@download/ENCFF419NIR.bigWig
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,Cebpa-rat,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF285EDL/@@download/ENCFF285EDL.bed.gz
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,Cebpa-rat,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF858JKM/@@download/ENCFF858JKM.bigBed
bigWig,,signal p-value,GRCh38,Mint-ChIP-seq,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary cell,Homo sapiens,,,,H3K27me3-human,DNA,2022-04-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF339VCA/@@download/ENCFF339VCA.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Mint-ChIP-seq,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary cell,Homo sapiens,,,,H3K27me3-human,DNA,2022-04-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF917ZZQ/@@download/ENCFF917ZZQ.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Mint-ChIP-seq,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary cell,Homo sapiens,,,,H3K27me3-human,DNA,2022-04-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF855MEN/@@download/ENCFF855MEN.bigBed
bigWig,,signal p-value,GRCh38,Mint-ChIP-seq,memory B cell,primary cell,Homo sapiens,,,,H3K4me3-human,DNA,2022-03-28,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF054SGR/@@download/ENCFF054SGR.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Mint-ChIP-seq,memory B cell,primary cell,Homo sapiens,,,,H3K4me3-human,DNA,2022-03-28,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF268EEV/@@download/ENCFF268EEV.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Mint-ChIP-seq,memory B cell,primary cell,Homo sapiens,,,,H3K4me3-human,DNA,2022-03-28,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF794BIC/@@download/ENCFF794BIC.bigBed
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,dorsolateral prefrontal cortex,tissue,Homo sapiens,,,,H3K4me3-human,DNA,2022-06-09,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF401CRB/@@download/ENCFF401CRB.bed.gz
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,dorsolateral prefrontal cortex,tissue,Homo sapiens,,,,H3K4me3-human,DNA,2022-06-09,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF344EIT/@@download/ENCFF344EIT.bigWig
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,dorsolateral prefrontal cortex,tissue,Homo sapiens,,,,H3K4me3-human,DNA,2022-06-09,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF015HXV/@@download/ENCFF015HXV.bigBed
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K36me3-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF899AJS/@@download/ENCFF899AJS.bigWig
bigBed,narrowPeak,peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K36me3-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF903DGQ/@@download/ENCFF903DGQ.bigBed
bed,narrowPeak,peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K36me3-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF013ADQ/@@download/ENCFF013ADQ.bed.gz
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K36me3-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF186RMK/@@download/ENCFF186RMK.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K36me3-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF374DQQ/@@download/ENCFF374DQQ.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K36me3-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF964YTN/@@download/ENCFF964YTN.bigBed
bigBed,narrowPeak,IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,ceh-58-celegans,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF750YVF/@@download/ENCFF750YVF.bigBed
bigWig,,signal p-value,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,ceh-58-celegans,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF054NJH/@@download/ENCFF054NJH.bigWig
bed,narrowPeak,IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,ceh-58-celegans,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF396IHP/@@download/ENCFF396IHP.bed.gz
bigWig,,plus strand signal of unique reads,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,BRD2-human,polyadenylated mRNA,2021-11-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF350FAF/@@download/ENCFF350FAF.bigWig
tsv,,gene quantifications,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,BRD2-human,polyadenylated mRNA,2021-11-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF544VKF/@@download/ENCFF544VKF.tsv
bigWig,,minus strand signal of unique reads,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,BRD2-human,polyadenylated mRNA,2021-11-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF226SQP/@@download/ENCFF226SQP.bigWig
bigWig,,signal p-value,dm6,TF ChIP-seq,whole organism,whole organisms,Drosophila melanogaster,,site-specific recombination,insertion,CG5953-dmelanogaster,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF062RMX/@@download/ENCFF062RMX.bigWig
bed,narrowPeak,IDR thresholded peaks,dm6,TF ChIP-seq,whole organism,whole organisms,Drosophila melanogaster,,site-specific recombination,insertion,CG5953-dmelanogaster,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF401QAI/@@download/ENCFF401QAI.bed.gz
bigBed,narrowPeak,IDR thresholded peaks,dm6,TF ChIP-seq,whole organism,whole organisms,Drosophila melanogaster,,site-specific recombination,insertion,CG5953-dmelanogaster,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF358NKF/@@download/ENCFF358NKF.bigBed
bed,narrowPeak,IDR thresholded peaks,dm6,TF ChIP-seq,whole organism,whole organisms,Drosophila melanogaster,,site-specific recombination,insertion,dimm-dmelanogaster,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF280ORF/@@download/ENCFF280ORF.bed.gz
bigWig,,signal p-value,dm6,TF ChIP-seq,whole organism,whole organisms,Drosophila melanogaster,,site-specific recombination,insertion,dimm-dmelanogaster,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF611QEL/@@download/ENCFF611QEL.bigWig
bigBed,narrowPeak,IDR thresholded peaks,dm6,TF ChIP-seq,whole organism,whole organisms,Drosophila melanogaster,,site-specific recombination,insertion,dimm-dmelanogaster,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF186QXJ/@@download/ENCFF186QXJ.bigBed
tar,,unfiltered sparse gene count matrix of all reads,mm10,snRNA-seq,adrenal gland,tissue,Mus musculus,,,,,RNA,2022-03-25,ENCODE,"Barbara Wold, Caltech",https://www.encodeproject.org/files/ENCFF707WVW/@@download/ENCFF707WVW.tar.gz
tar,,unfiltered sparse gene count matrix of all reads,mm10,snRNA-seq,adrenal gland,tissue,Mus musculus,,,,,RNA,2022-03-25,ENCODE,"Barbara Wold, Caltech",https://www.encodeproject.org/files/ENCFF222YFL/@@download/ENCFF222YFL.tar.gz
hic,,mapping quality thresholded contact matrix,GRCh38,intact Hi-C,right cardiac atrium,tissue,Homo sapiens,,,,,DNA,2023-03-15,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF784WTB/@@download/ENCFF784WTB.hic
bedpe,,contact domains,GRCh38,intact Hi-C,right cardiac atrium,tissue,Homo sapiens,,,,,DNA,2023-03-15,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF632JNP/@@download/ENCFF632JNP.bedpe.gz
bedpe,,loops,GRCh38,intact Hi-C,right cardiac atrium,tissue,Homo sapiens,,,,,DNA,2023-03-15,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF382LEC/@@download/ENCFF382LEC.bedpe.gz
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K9ac-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF917FUA/@@download/ENCFF917FUA.bigWig
bigBed,narrowPeak,peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K9ac-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF320AJB/@@download/ENCFF320AJB.bigBed
bed,narrowPeak,peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K9ac-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF820IVD/@@download/ENCFF820IVD.bed.gz
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K9ac-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF245TCF/@@download/ENCFF245TCF.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K9ac-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF021VCU/@@download/ENCFF021VCU.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K9ac-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF294JBD/@@download/ENCFF294JBD.bigBed
tar,,unfiltered sparse gene count matrix of all reads,mm10,snRNA-seq,layer of hippocampus,tissue,Mus musculus,,,,,RNA,2022-03-25,ENCODE,"Barbara Wold, Caltech",https://www.encodeproject.org/files/ENCFF743AJB/@@download/ENCFF743AJB.tar.gz
bigWig,,signal of unique reads,GRCh38,total RNA-seq,K562,cell line,Homo sapiens,Panobinostat,,,,RNA,2022-02-17,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF557CLI/@@download/ENCFF557CLI.bigWig
tsv,,gene quantifications,GRCh38,total RNA-seq,K562,cell line,Homo sapiens,Panobinostat,,,,RNA,2022-02-17,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF057HQM/@@download/ENCFF057HQM.tsv
bed,narrowPeak,conservative IDR thresholded peaks,GRCh38,TF ChIP-seq,HepG2,cell line,Homo sapiens,,CRISPR,insertion,E2F8-human,DNA,2022-08-15,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF603NUV/@@download/ENCFF603NUV.bed.gz
bigWig,,signal p-value,GRCh38,TF ChIP-seq,HepG2,cell line,Homo sapiens,,CRISPR,insertion,E2F8-human,DNA,2022-08-15,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF539WOO/@@download/ENCFF539WOO.bigWig
bigBed,narrowPeak,conservative IDR thresholded peaks,GRCh38,TF ChIP-seq,HepG2,cell line,Homo sapiens,,CRISPR,insertion,E2F8-human,DNA,2022-08-15,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF117UYU/@@download/ENCFF117UYU.bigBed
bed,narrowPeak,IDR thresholded peaks,dm6,TF ChIP-seq,whole organism,whole organisms,Drosophila melanogaster,,site-specific recombination,insertion,ase-dmelanogaster,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF476RIG/@@download/ENCFF476RIG.bed.gz
bigWig,,signal p-value,dm6,TF ChIP-seq,whole organism,whole organisms,Drosophila melanogaster,,site-specific recombination,insertion,ase-dmelanogaster,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF833KEG/@@download/ENCFF833KEG.bigWig
bigBed,narrowPeak,IDR thresholded peaks,dm6,TF ChIP-seq,whole organism,whole organisms,Drosophila melanogaster,,site-specific recombination,insertion,ase-dmelanogaster,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF451GDZ/@@download/ENCFF451GDZ.bigBed
bed,narrowPeak,peaks,GRCh38,eCLIP,K562,cell line,Homo sapiens,,,,RNF187-human,RNA,2022-11-16,ENCODE,"Gene Yeo, UCSD",https://www.encodeproject.org/files/ENCFF389PHE/@@download/ENCFF389PHE.bed.gz
bigBed,narrowPeak,peaks,GRCh38,eCLIP,K562,cell line,Homo sapiens,,,,RNF187-human,RNA,2022-11-16,ENCODE,"Gene Yeo, UCSD",https://www.encodeproject.org/files/ENCFF180QAF/@@download/ENCFF180QAF.bigBed
bigWig,,minus strand signal of unique reads,GRCh38,total RNA-seq,dorsolateral prefrontal cortex,tissue,Homo sapiens,,,,,RNA,2022-06-03,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF500BHN/@@download/ENCFF500BHN.bigWig
tsv,,gene quantifications,GRCh38,total RNA-seq,dorsolateral prefrontal cortex,tissue,Homo sapiens,,,,,RNA,2022-06-03,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF389KXF/@@download/ENCFF389KXF.tsv
bigWig,,plus strand signal of unique reads,GRCh38,total RNA-seq,dorsolateral prefrontal cortex,tissue,Homo sapiens,,,,,RNA,2022-06-03,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF037HVL/@@download/ENCFF037HVL.bigWig
bigWig,,signal p-value,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,B0336.3-celegans,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF573BMN/@@download/ENCFF573BMN.bigWig
bed,narrowPeak,IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,B0336.3-celegans,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF595GQL/@@download/ENCFF595GQL.bed.gz
bigBed,narrowPeak,IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,B0336.3-celegans,DNA,2022-11-01,modERN,"Robert Waterston, UW",https://www.encodeproject.org/files/ENCFF567YNX/@@download/ENCFF567YNX.bigBed
bigWig,,minus strand signal of unique reads,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,DBNL-human,polyadenylated mRNA,2021-11-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF177EAN/@@download/ENCFF177EAN.bigWig
bigWig,,plus strand signal of unique reads,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,DBNL-human,polyadenylated mRNA,2021-11-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF332MYJ/@@download/ENCFF332MYJ.bigWig
tsv,,gene quantifications,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,DBNL-human,polyadenylated mRNA,2021-11-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF069HMF/@@download/ENCFF069HMF.tsv
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K4me3-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF215JDL/@@download/ENCFF215JDL.bigWig
bed,narrowPeak,peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K4me3-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF674PEF/@@download/ENCFF674PEF.bed.gz
bigBed,narrowPeak,peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K4me3-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF493FGE/@@download/ENCFF493FGE.bigBed
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K4me3-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF296OWZ/@@download/ENCFF296OWZ.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K4me3-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF284IBJ/@@download/ENCFF284IBJ.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K4me3-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF181NSR/@@download/ENCFF181NSR.bigBed
bigWig,,signal p-value,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,,CRISPR,insertion,NR3C1-human,DNA,2022-09-13,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF239XXN/@@download/ENCFF239XXN.bigWig
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,,CRISPR,insertion,NR3C1-human,DNA,2022-09-13,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF201BGD/@@download/ENCFF201BGD.bed.gz
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,,CRISPR,insertion,NR3C1-human,DNA,2022-09-13,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF877YZJ/@@download/ENCFF877YZJ.bigBed
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K27me3-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF021XPY/@@download/ENCFF021XPY.bigWig
